Dataset,Alagorithm,Type,Part,%,Correct_Ham,Incorrect_Ham,Correct_Spam,Incorrect_Spam
British English SMS Corpora,FeedForwardNeuralNetwork,0,lowFeatureList,0.6252390057361377,51,30,44,32
British English SMS Corpora,FeedForwardNeuralNetwork,0,upFeatureList,0.7335243553008596,48,10,33,14
British English SMS Corpora,FeedForwardNeuralNetwork,1,lowFeatureList,0.6864244741873805,43,38,54,22
British English SMS Corpora,FeedForwardNeuralNetwork,1,upFeatureList,0.7335243553008596,48,10,37,10
British English SMS Corpora,FeedForwardNeuralNetwork,2,lowFeatureList,0.6730401529636711,42,39,56,20
British English SMS Corpora,FeedForwardNeuralNetwork,2,upFeatureList,0.7220630372492837,38,20,34,13
British English SMS Corpora,FeedForwardNeuralNetwork,3,lowFeatureList,0.6539196940726577,50,31,52,24
British English SMS Corpora,FeedForwardNeuralNetwork,3,upFeatureList,0.7679083094555874,44,14,39,8
British English SMS Corpora,FeedForwardNeuralNetwork,4,lowFeatureList,0.6768642447418738,52,29,54,22
British English SMS Corpora,FeedForwardNeuralNetwork,4,upFeatureList,0.7621776504297995,42,16,37,10
British English SMS Corpora,KNearestNeighbors,0,lowFeatureList,0.5334608030592735,0,0,145,12
British English SMS Corpora,KNearestNeighbors,0,upFeatureList,0.5787965616045845,0,0,92,13
British English SMS Corpora,KNearestNeighbors,1,lowFeatureList,0.5391969407265774,0,0,130,27
British English SMS Corpora,KNearestNeighbors,1,upFeatureList,0.6275071633237822,0,0,84,21
British English SMS Corpora,KNearestNeighbors,2,lowFeatureList,0.6080305927342257,0,0,128,29
British English SMS Corpora,KNearestNeighbors,2,upFeatureList,0.66189111747851,0,0,71,34
British English SMS Corpora,KNearestNeighbors,3,lowFeatureList,0.6080305927342257,0,0,123,34
British English SMS Corpora,KNearestNeighbors,3,upFeatureList,0.670487106017192,0,0,75,30
British English SMS Corpora,KNearestNeighbors,4,lowFeatureList,0.6061185468451242,0,0,114,43
British English SMS Corpora,KNearestNeighbors,4,upFeatureList,0.7220630372492837,35,23,42,5
British English SMS Corpora,LogisticRegression,0,lowFeatureList,0.7743785850860421,59,22,58,18
British English SMS Corpora,LogisticRegression,0,upFeatureList,0.7879656160458453,45,13,37,10
British English SMS Corpora,LogisticRegression,1,lowFeatureList,0.768642447418738,56,25,60,16
British English SMS Corpora,LogisticRegression,1,upFeatureList,0.7994269340974212,49,9,38,9
British English SMS Corpora,LogisticRegression,2,lowFeatureList,0.7246653919694073,44,37,57,19
British English SMS Corpora,LogisticRegression,2,upFeatureList,0.7851002865329513,45,13,37,10
British English SMS Corpora,LogisticRegression,3,lowFeatureList,0.7476099426386233,55,26,63,13
British English SMS Corpora,LogisticRegression,3,upFeatureList,0.8108882521489972,46,12,39,8
British English SMS Corpora,LogisticRegression,4,lowFeatureList,0.7571701720841301,57,24,57,19
British English SMS Corpora,LogisticRegression,4,upFeatureList,0.7936962750716332,44,14,38,9
British English SMS Corpora,Naive,0,lowFeatureList,0.7131931166347992,55,26,52,24
British English SMS Corpora,Naive,0,upFeatureList,0.7134670487106017,44,14,33,14
British English SMS Corpora,Naive,1,lowFeatureList,0.7246653919694073,53,28,54,22
British English SMS Corpora,Naive,1,upFeatureList,0.6762177650429799,43,15,29,18
British English SMS Corpora,Naive,2,lowFeatureList,0.745697896749522,58,23,57,19
British English SMS Corpora,Naive,2,upFeatureList,0.6991404011461319,41,17,34,13
British English SMS Corpora,Naive,3,lowFeatureList,0.7284894837476099,52,29,54,22
British English SMS Corpora,Naive,3,upFeatureList,0.7134670487106017,41,17,35,12
British English SMS Corpora,Naive,4,lowFeatureList,0.7170172084130019,58,23,50,26
British English SMS Corpora,Naive,4,upFeatureList,0.7077363896848138,43,15,31,16
British English SMS Corpora,RadialBasis,0,lowFeatureList,0.6061185468451242,0,0,118,39
British English SMS Corpora,RadialBasis,0,upFeatureList,0.7020057306590258,0,0,71,34
British English SMS Corpora,RadialBasis,1,lowFeatureList,0.638623326959847,49,32,38,38
British English SMS Corpora,RadialBasis,1,upFeatureList,0.6848137535816619,50,8,21,26
British English SMS Corpora,RadialBasis,2,lowFeatureList,0.615678776290631,0,0,111,46
British English SMS Corpora,RadialBasis,2,upFeatureList,0.6991404011461319,32,26,36,11
British English SMS Corpora,RadialBasis,3,lowFeatureList,0.6290630975143403,47,34,50,26
British English SMS Corpora,RadialBasis,3,upFeatureList,0.7335243553008596,42,16,34,13
British English SMS Corpora,RadialBasis,4,lowFeatureList,0.6137667304015296,0,0,105,52
British English SMS Corpora,RadialBasis,4,upFeatureList,0.7335243553008596,37,21,38,9
British English SMS Corpora,RandomForest,0,lowFeatureList,0.8317399617590823,67,14,59,17
British English SMS Corpora,RandomForest,0,upFeatureList,0.8252148997134671,49,9,42,5
British English SMS Corpora,RandomForest,1,lowFeatureList,0.8279158699808795,66,15,60,16
British English SMS Corpora,RandomForest,1,upFeatureList,0.839541547277937,48,10,42,5
British English SMS Corpora,RandomForest,2,lowFeatureList,0.8432122370936902,71,10,59,17
British English SMS Corpora,RandomForest,2,upFeatureList,0.8166189111747851,46,12,39,8
British English SMS Corpora,RandomForest,3,lowFeatureList,0.8374760994263862,72,9,60,16
British English SMS Corpora,RandomForest,3,upFeatureList,0.8137535816618912,45,13,40,7
British English SMS Corpora,RandomForest,4,lowFeatureList,0.8317399617590823,71,10,55,21
British English SMS Corpora,RandomForest,4,upFeatureList,0.8022922636103151,46,12,38,9
British English SMS Corpora,svm,0,lowFeatureList,0.8183556405353728,66,15,62,14
British English SMS Corpora,svm,0,upFeatureList,0.8022922636103151,45,13,40,7
British English SMS Corpora,svm,1,lowFeatureList,0.8107074569789675,61,20,62,14
British English SMS Corpora,svm,1,upFeatureList,0.8108882521489972,46,12,39,8
British English SMS Corpora,svm,2,lowFeatureList,0.8030592734225621,62,19,63,13
British English SMS Corpora,svm,2,upFeatureList,0.7736389684813754,40,18,37,10
British English SMS Corpora,svm,3,lowFeatureList,0.7934990439770554,64,17,56,20
British English SMS Corpora,svm,3,upFeatureList,0.7822349570200573,42,16,39,8
British English SMS Corpora,svm,4,lowFeatureList,0.8164435946462715,67,14,58,18
British English SMS Corpora,svm,4,upFeatureList,0.7908309455587392,42,16,39,8
